date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:55	394253/394253	---M--	200	added ('OK')	image/png	etag:%226780217-6040d-563eb7a6c6fbe%22	https://www.conscientia.co.in/images/logo/Phyknight%20logo.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/Phyknight%20logo.png	(from https://www.conscientia.co.in/Events/Philosophiae.php)
18:49:55	1443599/1443599	---M--	200	added ('OK')	image/png	etag:%226780215-16070f-563eb7a263722%22	https://www.conscientia.co.in/images/logo/panchmantra.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/panchmantra.png	(from https://www.conscientia.co.in/Events/Philosophiae.php)
18:49:55	1443599/1443599	---M--	200	added ('OK')	image/png	etag:%226780210-16070f-563eb797a2c0d%22	https://www.conscientia.co.in/images/logo/howadam.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/howadam.png	(from https://www.conscientia.co.in/Events/Philosophiae.php)
18:49:56	49651/49651	---M--	200	added ('OK')	image/jpeg	etag:%226780138-c1f3-563eb659da3fd%22	https://www.conscientia.co.in/Events/img/cyberia.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Events/img/cyberia.jpg	(from https://www.conscientia.co.in/Events/Cyberia.php)
18:49:57	45514/45514	---M--	200	added ('OK')	image/png	etag:%22678020c-b1ca-563eb786e4da7%22	https://www.conscientia.co.in/images/logo/Cosmic%20Clash.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/Cosmic%20Clash.png	(from https://www.conscientia.co.in/Events/Cyberia.php)
18:49:57	165963/165963	---M--	200	added ('OK')	image/png	etag:%226780208-2884b-563eb77eee462%22	https://www.conscientia.co.in/images/logo/Ccube.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/Ccube.png	(from https://www.conscientia.co.in/Events/Cyberia.php)
18:49:57	269802/269802	---M--	200	added ('OK')	image/png	etag:%226780228-41dea-563eb7b55f13e%22	https://www.conscientia.co.in/images/logo/webbed.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/webbed.png	(from https://www.conscientia.co.in/Events/Cyberia.php)
18:49:57	263496/263496	---M--	200	added ('OK')	image/png	etag:%226780214-40548-563eb79cf780b%22	https://www.conscientia.co.in/images/logo/Mathematrix.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/Mathematrix.png	(from https://www.conscientia.co.in/Events/Cyberia.php)
18:49:58	144769/144769	---M--	200	added ('OK')	image/jpeg	etag:%22678013b-23581-563eb711d965a%22	https://www.conscientia.co.in/Events/img/paripath.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Events/img/paripath.jpg	(from https://www.conscientia.co.in/Events/Paripath.php)
18:50:00	365000/365000	---M--	200	added ('OK')	image/jpeg	etag:%226780139-591c8-563eba430e992%22	https://www.conscientia.co.in/Events/img/kaleidoscope.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Events/img/kaleidoscope.jpg	(from https://www.conscientia.co.in/Events/Kaleidoscope.php)
